Task;Block;Stimulus;WAV;MIDI;PNG;;;
Auditory;B;B1;B1.wav;B1.mid;;;;
Auditory;B;B3;B3.wav;B3.mid;;;;
Auditory;B;B4;B4.wav;B4.mid;;;;
Auditory;B;B7;B7.wav;B7.mid;;;;
Auditory;B;B12;B12.wav;B12.mid;;;;
Auditory;B;B13;B13.wav;B13.mid;;;;
Auditory;B;B14;B14.wav;B14.mid;;;;
Auditory;B;B17;B17.wav;B17.mid;;;;
Auditory;B;B19;B19.wav;B19.mid;;;;
Auditory;B;B23;B23.wav;B23.mid;;;;
Auditory;B;B25;B25.wav;B25.mid;;;;
Auditory;B;B26;B26.wav;B26.mid;;;;
Auditory;B;B31;B31.wav;B31.mid;;;;
Auditory;B;B32;B32.wav;B32.mid;;;;
Auditory;B;B34;B34.wav;B34.mid;;;;
Auditory;B;B35;B35.wav;B35.mid;;;;
Auditory;B;B38;B38.wav;B38.mid;;;;
Auditory;B;B41;B41.wav;B41.mid;;;;
Auditory;B;B43;B43.wav;B43.mid;;;;
Auditory;B;B45;B45.wav;B45.mid;;;;
Auditory;B;B46;B46.wav;B46.mid;;;;
Auditory;B;B49;B49.wav;B49.mid;;;;
Auditory;C;C2;C2.wav;C2.mid;;;;
Auditory;C;C3;C3.wav;C3.mid;;;;
Auditory;C;C5;C5.wav;C5.mid;;;;
Auditory;C;C7;C7.wav;C7.mid;;;;
Auditory;C;C13;C13.wav;C13.mid;;;;
Auditory;C;C15;C15.wav;C15.mid;;;;
Auditory;C;C20;C20.wav;C20.mid;;;;
Auditory;C;C21;C21.wav;C21.mid;;;;
Auditory;C;C22;C22.wav;C22.mid;;;;
Auditory;C;C23;C23.wav;C23.mid;;;;
Auditory;C;C25;C25.wav;C25.mid;;;;
Auditory;C;C26;C26.wav;C26.mid;;;;
Auditory;C;C27;C27.wav;C27.mid;;;;
Auditory;C;C29;C29.wav;C29.mid;;;;
Auditory;C;C32;C32.wav;C32.mid;;;;
Auditory;C;C33;C33.wav;C33.mid;;;;
Auditory;C;C34;C34.wav;C34.mid;;;;
Auditory;C;C37;C37.wav;C37.mid;;;;
Auditory;C;C42;C42.wav;C42.mid;;;;
Auditory;C;C45;C45.wav;C45.mid;;;;
Auditory;C;C46;C46.wav;C46.mid;;;;
Auditory;C;C49;C49.wav;C49.mid;;;;
Auditory;K;K1;K1.wav;K1.mid;;;;
Auditory;K;K2;K2.wav;K2.mid;;;;
Auditory;K;K3;K3.wav;K3.mid;;;;
Auditory;K;K4;K4.wav;K4.mid;;;;
Auditory;K;K5;K5.wav;K5.mid;;;;
Auditory;K;K6;K6.wav;K6.mid;;;;
Auditory;K;K7;K7.wav;K7.mid;;;;
Auditory;K;K9;K9.wav;K9.mid;;;;
